,feature,importance
0,Age,739.2
1,Breed1,1655.4
2,Breed2,493.8
3,Color1,169.0
4,Color2,172.4
5,Fee,241.6
6,Gender,148.8
7,MaturitySize,121.4
8,PhotoAmt,205.4
9,Quantity,346.2
10,State,443.6
11,Sterilized,153.4
12,doc_sent_mag,289.6
13,dominant_blue,152.4
14,dominant_pixel_frac,190.4
15,dominant_red,123.2
16,dominant_score,174.2
17,label_description,42.8
18,label_score,366.2
19,pic_0,171.4
20,pic_1,163.0
21,pic_10,124.2
22,pic_100,122.6
23,pic_101,154.4
24,pic_102,218.4
25,pic_103,137.6
26,pic_105,176.6
27,pic_106,143.4
28,pic_107,169.6
29,pic_108,163.2
30,pic_11,158.6
31,pic_110,183.4
32,pic_111,158.0
33,pic_112,236.4
34,pic_113,249.8
35,pic_114,135.2
36,pic_115,178.2
37,pic_116,175.0
38,pic_117,180.6
39,pic_118,134.4
40,pic_119,134.6
41,pic_12,208.2
42,pic_120,174.2
43,pic_121,168.0
44,pic_122,177.6
45,pic_123,155.2
46,pic_124,173.6
47,pic_125,133.0
48,pic_126,189.6
49,pic_127,145.6
50,pic_128,159.8
51,pic_129,198.2
52,pic_13,153.8
53,pic_130,162.0
54,pic_131,161.2
55,pic_132,280.8
56,pic_133,152.2
57,pic_134,129.2
58,pic_135,222.4
59,pic_136,170.4
60,pic_137,169.0
61,pic_138,156.2
62,pic_139,180.6
63,pic_14,165.8
64,pic_140,128.8
65,pic_141,259.2
66,pic_142,164.4
67,pic_143,122.2
68,pic_144,154.2
69,pic_145,299.2
70,pic_146,158.8
71,pic_147,184.2
72,pic_148,185.6
73,pic_149,189.8
74,pic_15,137.0
75,pic_150,213.4
76,pic_151,232.2
77,pic_152,134.4
78,pic_153,183.4
79,pic_154,237.2
80,pic_155,166.8
81,pic_156,189.4
82,pic_157,192.4
83,pic_158,203.4
84,pic_159,133.6
85,pic_16,200.2
86,pic_160,287.2
87,pic_161,214.2
88,pic_162,144.8
89,pic_163,197.0
90,pic_164,195.0
91,pic_165,125.8
92,pic_166,156.6
93,pic_167,180.6
94,pic_168,170.0
95,pic_169,172.0
96,pic_170,133.6
97,pic_171,192.6
98,pic_172,259.0
99,pic_173,138.0
100,pic_174,192.4
101,pic_175,274.6
102,pic_176,179.0
103,pic_177,223.2
