,feature,importance
1,Breed1,1519.4
0,Age,732.2
2,Breed2,463.2
14,State,425.4
13,Quantity,340
487,vertex_y,328
454,svd_70,327.8
29,label_score,317.4
428,svd_47,310
170,pic_224,298.6
426,svd_45,298.4
130,pic_189,295.4
308,svd_118,277
410,svd_30,275.8
21,doc_sent_mag,274.6
383,svd_186,270.6
462,svd_78,268.4
459,svd_75,267.6
286,svd_0,265.4
327,svd_135,264.4
391,svd_193,264.4
230,pic_49,264
468,svd_83,261.6
68,pic_132,252.2
198,pic_25,252
344,svd_150,250.6
115,pic_175,249.6
264,pic_8,249.6
337,svd_144,249.2
78,pic_141,248
366,svd_170,246
400,svd_21,244.8
436,svd_54,242.6
484,svd_98,242.2
434,svd_52,240.4
408,svd_29,240.2
92,pic_154,240
99,pic_160,239.8
82,pic_145,239.4
112,pic_172,238.8
382,svd_185,238.6
449,svd_66,237.4
321,svd_13,236
417,svd_37,235.8
387,svd_19,235.6
421,svd_40,234.8
392,svd_194,234.6
395,svd_197,234.4
357,svd_162,233
335,svd_142,232.4
7,Fee,231.8
191,pic_243,229.8
324,svd_132,228.6
291,svd_102,228.4
292,svd_103,227.4
47,pic_113,227
419,svd_39,226.6
340,svd_147,225.6
290,svd_101,225.4
444,svd_61,225.4
229,pic_48,224.6
339,svd_146,224.2
302,svd_112,223.4
485,svd_99,223.2
358,svd_163,223
333,svd_140,222.6
349,svd_155,221.4
375,svd_179,220.4
46,pic_112,220
424,svd_43,220
451,svd_68,219.8
397,svd_199,219.6
310,svd_12,219.4
275,pic_9,219.2
363,svd_168,219.2
331,svd_139,218.4
455,svd_71,218.4
390,svd_192,218.2
297,svd_108,217.2
388,svd_190,216.2
89,pic_151,216
352,svd_158,215.8
440,svd_58,215.6
353,svd_159,214.2
227,pic_46,213.4
261,pic_77,213
239,pic_57,212.8
361,svd_166,212.6
215,pic_35,212.4
296,svd_107,212.4
346,svd_152,212.2
435,svd_53,212.2
71,pic_135,211.4
129,pic_188,210.8
317,svd_126,210.6
359,svd_164,209.8
362,svd_167,209.6
476,svd_90,209.6
422,svd_41,209.2
389,svd_191,208.2
472,svd_87,208.2
425,svd_44,208
12,PhotoAmt,206.8
121,pic_180,206.6
473,svd_88,206
330,svd_138,204.8
399,svd_20,204.8
420,svd_4,204.8
460,svd_76,204.4
158,pic_213,204
394,svd_196,204
448,svd_65,204
482,svd_96,204
467,svd_82,203.2
295,svd_106,202.6
100,pic_161,201.8
193,pic_245,201.8
270,pic_85,201.8
429,svd_48,200.8
271,pic_86,199.2
169,pic_223,198.8
211,pic_31,198.6
88,pic_150,197
418,svd_38,197
314,svd_123,196.6
380,svd_183,196.6
318,svd_127,195.6
293,svd_104,195.2
343,svd_15,195.2
197,pic_249,194.6
415,svd_35,194.4
133,pic_191,194.2
186,pic_239,193.8
385,svd_188,193
407,svd_28,193
207,pic_28,192.6
309,svd_119,192
195,pic_247,191.6
427,svd_46,191.4
456,svd_72,191.4
311,svd_120,191.2
437,svd_55,191.2
289,svd_100,190.8
433,svd_51,190.4
369,svd_173,190.2
466,svd_81,190.2
307,svd_117,190
303,svd_113,189.8
175,pic_229,189.6
365,svd_17,189.6
103,pic_164,189.2
118,pic_178,188.8
35,pic_102,188.4
213,pic_33,188.4
216,pic_36,188
416,svd_36,187.6
329,svd_137,187
432,svd_50,187
474,svd_89,186.8
348,svd_154,186.4
479,svd_93,186.4
287,svd_1,186.2
364,svd_169,186
373,svd_177,186
288,svd_10,185.8
401,svd_22,185.6
226,pic_45,185.2
250,pic_67,185.2
338,svd_145,185
404,svd_25,185
481,svd_95,185
185,pic_238,184.2
156,pic_211,184
341,svd_148,184
368,svd_172,184
354,svd_16,183.6
478,svd_92,183.2
240,pic_58,183
406,svd_27,182.6
144,pic_200,182.2
102,pic_163,182
461,svd_77,181.6
84,pic_147,181.2
367,svd_171,181
377,svd_180,181
386,svd_189,181
137,pic_195,180.8
475,svd_9,180.6
379,svd_182,180.4
265,pic_80,180.2
350,svd_156,180
470,svd_85,180
179,pic_232,179.8
464,svd_8,179.8
173,pic_227,179.4
463,svd_79,179
95,pic_157,178.4
183,pic_236,178.4
411,svd_31,178.4
91,pic_153,178.2
393,svd_195,178.2
54,pic_12,178
256,pic_72,177.4
378,svd_181,177.2
412,svd_32,177.2
413,svd_33,177.2
446,svd_63,177.2
447,svd_64,177
294,svd_105,176.8
305,svd_115,176.8
326,svd_134,176.6
117,pic_177,176.4
153,pic_209,176.4
414,svd_34,176.4
212,pic_32,176.2
450,svd_67,176.2
208,pic_29,175.8
25,dominant_pixel_frac,175.6
161,pic_216,175.2
260,pic_76,175.2
336,svd_143,175.2
301,svd_111,174.6
316,svd_125,174.6
320,svd_129,174.4
38,pic_105,174.2
323,svd_131,174.2
372,svd_176,174.2
403,svd_24,174.2
469,svd_84,174.2
180,pic_233,173.2
458,svd_74,173
409,svd_3,172.2
125,pic_184,171.6
142,pic_2,171.4
298,svd_109,171.4
86,pic_149,171.2
299,svd_11,171.2
445,svd_62,171
384,svd_187,170.8
57,pic_122,170.6
166,pic_220,170.6
141,pic_199,170.4
127,pic_186,170
44,pic_110,169.8
64,pic_129,169.8
283,pic_97,169.4
345,svd_151,169.4
94,pic_156,169.2
282,pic_96,169.2
43,pic_11,168.8
356,svd_161,168.8
107,pic_168,168.2
159,pic_214,168
304,svd_114,167.2
423,svd_42,167.2
355,svd_160,167
442,svd_6,167
96,pic_158,166.6
116,pic_176,166.2
182,pic_235,166.2
164,pic_219,166
61,pic_126,165.8
347,svd_153,165.8
351,svd_157,165.8
319,svd_128,165.6
486,vertex_x,165.6
51,pic_117,165.4
85,pic_148,165.4
83,pic_146,165.2
219,pic_39,165.2
147,pic_203,164.8
190,pic_242,164.6
75,pic_139,164.2
162,pic_217,164.2
200,pic_251,163.4
114,pic_174,163.2
371,svd_175,163.2
443,svd_60,163.2
136,pic_194,162.8
221,pic_40,162
72,pic_136,161.6
342,svd_149,161
111,pic_171,160.8
441,svd_59,160.6
27,dominant_score,160.2
196,pic_248,160.2
405,svd_26,160
453,svd_7,160
98,pic_16,159.8
106,pic_167,159.8
251,pic_68,159.8
398,svd_2,159.8
249,pic_66,159.6
259,pic_75,159.6
73,pic_137,159.4
315,svd_124,159.2
131,pic_19,159
325,svd_133,159
234,pic_52,158.6
396,svd_198,158.6
49,pic_115,158.4
248,pic_65,158.2
277,pic_91,157.8
374,svd_178,157.8
258,pic_74,157.6
457,svd_73,157.4
128,pic_187,156.8
312,svd_121,156.8
151,pic_207,156.4
262,pic_78,156.4
402,svd_23,156.4
452,svd_69,156.4
236,pic_54,155.8
108,pic_169,155.6
254,pic_70,155.6
238,pic_56,154.4
300,svd_110,154.2
192,pic_244,154
233,pic_51,153.8
178,pic_231,153.2
203,pic_254,152.8
124,pic_183,152.4
274,pic_89,152
430,svd_49,152
3,Color1,151.2
152,pic_208,151.2
210,pic_30,151.2
122,pic_181,150.8
67,pic_131,150
272,pic_87,150
370,svd_174,149.4
439,svd_57,149.2
123,pic_182,148.6
132,pic_190,148.2
328,svd_136,148.2
50,pic_116,148
360,svd_165,148
376,svd_18,148
181,pic_234,147.8
79,pic_142,147.2
187,pic_24,146.8
322,svd_130,146.8
15,Sterilized,146.4
438,svd_56,146.4
148,pic_204,146
9,Gender,145.6
31,pic_1,145.4
199,pic_250,145.4
223,pic_42,145.4
138,pic_196,145
174,pic_228,144.8
480,svd_94,144.4
4,Color2,144.2
30,pic_0,144.2
471,svd_86,143.8
56,pic_121,143.4
268,pic_83,142.6
431,svd_5,142.4
209,pic_3,142
246,pic_63,142
257,pic_73,142
34,pic_101,140.2
55,pic_120,139.8
278,pic_92,139.8
154,pic_21,138.6
184,pic_237,138.6
242,pic_6,138.4
58,pic_123,138.2
269,pic_84,138.2
334,svd_141,138.2
465,svd_80,138.2
63,pic_128,138
69,pic_133,137.8
126,pic_185,137.8
222,pic_41,137.6
381,svd_184,136.6
149,pic_205,136.2
76,pic_14,136
140,pic_198,136
59,pic_124,135.8
120,pic_18,135.6
306,svd_116,135.6
105,pic_166,135.4
217,pic_37,134.4
237,pic_55,134.4
135,pic_193,134
273,pic_88,133.4
313,svd_122,133.4
70,pic_134,133.2
225,pic_44,133
65,pic_13,132.8
52,pic_118,131.6
93,pic_155,131.4
81,pic_144,131
62,pic_127,130.8
66,pic_130,130
45,pic_111,129.8
41,pic_108,129.6
36,pic_103,129.4
483,svd_97,129.4
204,pic_255,129
332,svd_14,128.6
266,pic_81,127.8
171,pic_225,127.6
