,feature,importance
0,Age,741.0
1,Breed1,1266.8
2,Breed2,436.0
3,Color1,158.6
4,Color2,108.8
5,Fee,191.4
6,Gender,136.0
7,MaturitySize,99.2
8,PhotoAmt,168.8
9,Quantity,330.6
10,State,392.2
11,Sterilized,167.4
12,doc_sent_mag,187.4
13,dominant_blue,97.8
14,dominant_pixel_frac,118.2
15,dominant_red,71.4
16,dominant_score,146.2
17,label_score,502.0
18,pic_0,70.8
19,pic_1,108.8
20,pic_10,68.4
21,pic_100,104.6
22,pic_101,89.8
23,pic_102,76.0
24,pic_103,120.4
25,pic_105,74.4
26,pic_106,76.4
27,pic_107,137.4
28,pic_108,99.4
29,pic_11,85.2
30,pic_110,59.0
31,pic_111,99.6
32,pic_112,100.6
33,pic_113,92.4
34,pic_114,71.8
35,pic_115,127.6
36,pic_116,131.0
37,pic_117,84.8
38,pic_118,91.0
39,pic_119,62.4
40,pic_12,67.4
41,pic_120,82.4
42,pic_121,190.8
43,pic_122,56.0
44,pic_123,73.4
45,pic_124,83.8
46,pic_125,100.6
47,pic_126,78.8
48,pic_127,85.8
49,pic_128,83.6
50,pic_129,80.4
51,pic_13,83.0
52,pic_130,128.2
53,pic_131,92.0
54,pic_132,82.6
55,pic_133,68.0
56,pic_134,83.8
57,pic_135,72.8
58,pic_136,137.6
59,pic_137,79.4
60,pic_138,76.6
61,pic_139,138.6
62,pic_14,71.8
63,pic_140,101.6
64,pic_141,76.4
65,pic_142,76.4
66,pic_143,91.4
67,pic_144,65.8
68,pic_145,132.2
69,pic_146,62.2
70,pic_147,113.4
71,pic_148,92.0
72,pic_149,65.2
73,pic_15,66.8
74,pic_150,83.0
75,pic_151,49.6
76,pic_152,73.8
77,pic_153,59.2
78,pic_154,66.6
79,pic_155,69.2
80,pic_156,79.2
81,pic_157,72.8
82,pic_158,71.2
83,pic_159,73.8
84,pic_16,96.2
85,pic_160,62.0
86,pic_161,89.2
87,pic_162,67.2
88,pic_163,72.6
89,pic_164,102.6
90,pic_165,68.4
91,pic_166,145.8
92,pic_167,103.2
93,pic_168,93.0
94,pic_169,47.2
95,pic_170,79.4
96,pic_171,63.6
97,pic_172,40.2
98,pic_173,50.6
99,pic_174,66.4
100,pic_175,47.0
101,pic_176,50.2
102,pic_177,76.4
103,pic_178,85.4
104,pic_179,117.4
105,pic_18,104.2
106,pic_180,91.2
107,pic_181,121.0
108,pic_182,66.2
109,pic_183,49.6
110,pic_184,77.6
111,pic_185,48.0
112,pic_186,67.6
113,pic_187,74.2
114,pic_188,69.2
115,pic_189,45.4
116,pic_19,76.2
117,pic_190,66.2
118,pic_191,57.2
119,pic_192,74.6
120,pic_193,40.6
121,pic_194,65.4
122,pic_195,84.0
123,pic_196,104.6
124,pic_198,80.6
125,pic_199,74.4
126,pic_2,76.2
127,pic_20,84.2
128,pic_200,101.8
129,pic_201,108.6
130,pic_202,52.2
131,pic_203,77.2
132,pic_204,55.8
133,pic_205,65.2
134,pic_206,96.2
135,pic_207,72.6
136,pic_208,80.6
137,pic_209,45.4
138,pic_21,91.2
139,pic_210,59.4
140,pic_211,59.8
141,pic_212,42.0
142,pic_213,78.2
143,pic_214,110.2
144,pic_215,52.0
145,pic_216,44.6
146,pic_217,68.0
147,pic_218,104.4
148,pic_219,101.0
149,pic_22,79.4
150,pic_220,49.6
151,pic_221,76.2
152,pic_222,83.8
153,pic_223,81.4
154,pic_224,85.0
155,pic_225,73.4
156,pic_226,74.2
157,pic_227,96.6
158,pic_228,81.4
159,pic_229,68.6
160,pic_23,40.6
161,pic_230,96.6
162,pic_231,62.6
163,pic_232,103.6
164,pic_233,65.4
165,pic_234,58.4
166,pic_235,50.6
167,pic_236,61.8
168,pic_237,79.8
169,pic_238,92.0
170,pic_239,70.4
171,pic_24,74.0
172,pic_240,71.2
173,pic_241,82.0
174,pic_242,41.4
175,pic_243,89.4
176,pic_244,65.8
177,pic_245,62.4
